question,sql,similar_queries,response,extracted_python_code
List the total number of customers and suppliers in each nation. Order by nation name,"SELECT n_name AS nation_name, COUNT(DISTINCT c_custkey) AS total_customers, COUNT(DISTINCT s_suppkey) AS total_suppliers FROM nation LEFT JOIN customer ON n_nationkey = c_nationkey LEFT JOIN supplier ON n_nationkey = s_nationkey GROUP BY n_name;","1. Count customers and suppliers by region:

# Count customers and suppliers by region
nation_counts = regions.CALCULATE(
    region_name=name,
    n_customers=COUNT(nations.customers),
    n_suppliers=COUNT(nations.suppliers)
)","Here's how we can approach this:

1.  We need to start with the `nations` collection.
2.  For each nation, we need to count the number of customers and suppliers.
3.  Finally, we need to order the results by nation name.

Here's the PyDough code:

```python
nation_counts = nations.CALCULATE(
    nation_name=name,
    n_customers=COUNT(customers),
    n_suppliers=COUNT(suppliers)
).ORDER_BY(nation_name.ASC())
```

Explanation:

*   We start with the `nations` collection.
*   We use `CALCULATE` to create a new collection with the following fields:
    *   `nation_name`: The name of the nation.
    *   `n_customers`: The number of customers in the nation, calculated using `COUNT(customers)`.
    *   `n_suppliers`: The number of suppliers in the nation, calculated using `COUNT(suppliers)`.
*   Finally, we use `ORDER_BY` to sort the results by `nation_name` in ascending order.
","nation_counts = nations.CALCULATE(
    nation_name=name,
    n_customers=COUNT(customers),
    n_suppliers=COUNT(suppliers)
).ORDER_BY(nation_name.ASC())"
Find the top 5 nations with the highest number of orders placed by their customers in 1995.,"SELECT n_name AS nation_name, COUNT(o_orderkey) AS total_orders FROM nation JOIN customer ON n_nationkey = c_nationkey JOIN orders ON c_custkey = o_custkey WHERE o_orderdate >= '1995-01-01' AND o_orderdate <= '1995-12-31' GROUP BY n_name ORDER BY total_orders DESC LIMIT 5;","1. Top 5 nations by average order value in 1995:

orders_in_1995= customers.orders.WHERE(YEAR(order_date) == 1995)

top_5_nations = nations.CALCULATE(
    nation_name=name,
    average_orders= AVG(orders_in_1995), 
    order_count=COUNT(orders_in_1995)
).TOP_K(5, by=average_orders.DESC())","Okay, let's break this down. We need to find the top 5 nations with the most orders placed by their customers in 1995. Here's how we can approach this:

1.  **Start with the `nations` collection.** We want to rank nations.
2.  **Access the `customers` for each nation.** We need to consider orders placed by customers of each nation.
3.  **Access the `orders` for each customer.** We are interested in the orders placed by these customers.
4.  **Filter the orders to include only those placed in 1995.** We need to consider only orders from 1995.
5.  **Count the number of orders for each nation.** We need to count the orders placed by customers of each nation.
6.  **Rank the nations based on the order count.** We need to rank the nations based on the number of orders.
7.  **Select the top 5 nations.** We need to select the top 5 nations based on the ranking.

Here's the PyDough code:

```python
top_5_nations_by_orders_1995 = nations.CALCULATE(
    nation_name=name,
    order_count=COUNT(customers.orders.WHERE(YEAR(order_date) == 1995))
).TOP_K(5, by=order_count.DESC())
```

Explanation:

*   We start with the `nations` collection.
*   We use `CALCULATE` to create a new collection with the nation's name and the count of orders placed by customers in 1995.
    *   `nation_name=name` selects the name of the nation.
    *   `order_count=COUNT(customers.orders.WHERE(YEAR(order_date) == 1995))` counts the number of orders placed by customers of that nation in 1995.
*   We use `TOP_K(5, by=order_count.DESC())` to select the top 5 nations based on the order count in descending order.
","top_5_nations_by_orders_1995 = nations.CALCULATE(
    nation_name=name,
    order_count=COUNT(customers.orders.WHERE(YEAR(order_date) == 1995))
).TOP_K(5, by=order_count.DESC())"
"Find the region name with the highest total order value in 1996. The total order value is defined as potential revenue, defined as the sum of extended_price * (1 - discount)","SELECT r_name AS region_name, SUM(l_extendedprice * (1 - l_discount)) AS total_order_value FROM region JOIN nation ON r_regionkey = n_regionkey JOIN customer ON n_nationkey = c_nationkey JOIN orders ON c_custkey = o_custkey JOIN lineitem ON o_orderkey = l_orderkey WHERE o_orderdate >= '1996-01-01' AND o_orderdate <= '1996-12-31' GROUP BY r_name ORDER BY total_order_value DESC LIMIT 1;",,"Okay, let's break down this problem into smaller parts.

1.  **Objective:** Find the region with the highest total order value in 1996.
2.  **Total Order Value Definition:** The total order value is the sum of `extended_price * (1 - discount)` for all orders.
3.  **Year:** We are only considering orders placed in 1996.
4.  **Output:** We need to return the region's name and its total order value.

Here's the plan:

1.  Start with the `regions` collection.
2.  For each region, calculate the total order value for 1996. This involves navigating through nations, customers, and orders to reach the line items.
3.  Find the region with the maximum total order value.
4.  Return the region's name and the calculated total order value.

Here's the PyDough code:

```python
region_order_values_1996 = regions.CALCULATE(
    region_name=name,
    total_order_value=SUM(nations.customers.orders.WHERE(YEAR(order_date) == 1996).lines.CALCULATE(line_value=extended_price * (1 - discount)).line_value)
).TOP_K(1, by=total_order_value.DESC())
```

Explanation:

*   `regions.CALCULATE(...)`: We start with the `regions` collection and use `CALCULATE` to compute the total order value for each region.
*   `region_name=name`: We select the region's name.
*   `total_order_value=SUM(...)`: We calculate the sum of the order values.
*   `nations.customers.orders.WHERE(YEAR(order_date) == 1996)`: We navigate from regions to nations, then to customers, and finally to orders. We filter the orders to include only those placed in 1996.
*   `.lines.CALCULATE(line_value=extended_price * (1 - discount)).line_value`: For each order, we access the line items, calculate the `line_value` (extended price times (1 - discount)), and then sum these values.
*   `.TOP_K(1, by=total_order_value.DESC())`: Finally, we use `TOP_K` to select the region with the highest total order value.
","region_order_values_1996 = regions.CALCULATE(
    region_name=name,
    total_order_value=SUM(nations.customers.orders.WHERE(YEAR(order_date) == 1996).lines.CALCULATE(line_value=extended_price * (1 - discount)).line_value)
).TOP_K(1, by=total_order_value.DESC())"
Find the top 3 regions with the most distinct customers,"SELECT r_name AS region_name, COUNT(DISTINCT c_custkey) AS distinct_customers FROM region JOIN nation ON r_regionkey = n_regionkey JOIN customer ON n_nationkey = c_nationkey GROUP BY r_name ORDER BY distinct_customers DESC LIMIT 3;","1. Find the top 10 with the most distinct suppliers

top_regions = regions.CALCULATE(
    region_name=name,
    suppliers_count=NDISTINCT(nations.suppliers.key))
).TOP_K(10, by=customer_count.DESC())""
","Okay, let's break down the task:

1.  We need to find the number of distinct customers for each region.
2.  Then, we need to rank the regions based on the count of distinct customers.
3.  Finally, we need to select the top 3 regions with the highest number of distinct customers.

Here's how we can approach this using PyDough:

1.  Start with the `regions` collection.
2.  For each region, calculate the number of distinct customers using `NDISTINCT(nations.customers.key)`.
3.  Use `TOP_K` to select the top 3 regions based on the calculated distinct customer count.

```python
top_regions = regions.CALCULATE(
    region_name=name,
    customer_count=NDISTINCT(nations.customers.key)
).TOP_K(3, by=customer_count.DESC())
```

Explanation:

*   `regions.CALCULATE(...)`: This starts with the `regions` collection and uses `CALCULATE` to create new fields.
*   `region_name=name`: This assigns the region's name to the `region_name` field.
*   `customer_count=NDISTINCT(nations.customers.key)`: This calculates the number of distinct customers for each region by navigating through `nations` and then `customers`, and counting the distinct customer keys.
*   `.TOP_K(3, by=customer_count.DESC())`: This selects the top 3 regions based on the `customer_count` in descending order.
","top_regions = regions.CALCULATE(
    region_name=name,
    customer_count=NDISTINCT(nations.customers.key)
).TOP_K(3, by=customer_count.DESC())"
Find the names of all customers and number of orders placed in 1995 in Europe who have an account balance greater than $700 and placed at least one order in 1995. Sorted in descending order by the number of orders.,"SELECT c.c_name AS customer_name, COUNT(o.o_orderkey) AS order_count_1995 FROM customer c JOIN nation n ON c.c_nationkey = n.n_nationkey JOIN region r ON n.n_regionkey = r.r_regionkey JOIN orders o ON c.c_custkey = o.o_custkey WHERE r.r_name = 'EUROPE' AND c.c_acctbal > 700 AND o.o_orderdate BETWEEN '1995-01-01' AND '1995-12-31' GROUP BY c.c_name, c.c_acctbal ORDER BY order_count_1995 DESC, c.c_acctbal DESC;",,"Okay, let's break down this request and construct the PyDough code.

**Understanding the Requirements**

The goal is to find customers in Europe who meet specific criteria:

1.  **Location:**  Must be in Europe.
2.  **Account Balance:**  Must have an account balance greater than $700.
3.  **Order Activity:**  Must have placed at least one order in 1995.
4.  **Output:**  We need the customer's name and the number of orders they placed in 1995.
5.  **Sorting:**  The results should be sorted in descending order based on the number of orders.

**Database Relationships**

*   `customers` collection has customer information, including `acctbal`, `name`, and `nation_key`.
*   `nations` collection links customers to nations and has a `region_key`.
*   `regions` collection has region information, including the `name` (e.g., ""EUROPE"").
*   `orders` collection is linked to customers and has `order_date`.

**PyDough Code Construction**

Here's the PyDough code to achieve this:

```python
european_customers_1995 = regions.WHERE(name == ""EUROPE"").nations.customers.CALCULATE(
    customer_name=name,
    num_orders=COUNT(orders.WHERE(YEAR(order_date) == 1995))
).WHERE((acctbal > 700) & (num_orders > 0)).ORDER_BY(num_orders.DESC())
```

**Explanation:**

1.  **`regions.WHERE(name == ""EUROPE"")`**:  Start with the `regions` collection and filter for the region named ""EUROPE"".
2.  **`.nations.customers`**:  Navigate from the ""EUROPE"" region to its associated nations and then to the customers in those nations.
3.  **`.CALCULATE(...)`**:  Calculate the following for each customer:
    *   `customer_name=name`: Select the customer's name.
    *   `num_orders=COUNT(orders.WHERE(YEAR(order_date) == 1995))`: Count the number of orders placed by the customer in 1995.
4.  **`.WHERE((acctbal > 700) & (num_orders > 0))`**:  Filter the customers based on the following conditions:
    *   `acctbal > 700`:  Account balance greater than $700.
    *   `num_orders > 0`:  At least one order placed in 1995.
5.  **`.ORDER_BY(num_orders.DESC())`**:  Sort the results in descending order based on the `num_orders` (number of orders).
","european_customers_1995 = regions.WHERE(name == ""EUROPE"").nations.customers.CALCULATE(
    customer_name=name,
    num_orders=COUNT(orders.WHERE(YEAR(order_date) == 1995))
).WHERE((acctbal > 700) & (num_orders > 0)).ORDER_BY(num_orders.DESC())"
"Find suppliers in each nation who have a total availqty of more than 1000 units of parts with 'BRASS' in their type. List the supplier name, nation name, and the sum of the parts supplied.","SELECT s.s_name AS SupplierName, n.n_name AS Nation, SUM(ps.ps_availqty) AS TotalUnitsSupplied FROM supplier s JOIN nation n ON s.s_nationkey = n.n_nationkey JOIN partsupp ps ON s.s_suppkey = ps.ps_suppkey JOIN part p ON ps.ps_partkey = p.p_partkey WHERE p.p_type LIKE '%BRASS%' GROUP BY s.s_name, n.n_name HAVING SUM(ps.ps_availqty) > 1000 ORDER BY TotalUnitsSupplied DESC;",,"Okay, let's break down this request into smaller parts:

1.  We need to find suppliers in each nation.
2.  We need to filter parts with 'BRASS' in their type.
3.  We need to calculate the total `availqty` of these parts for each supplier.
4.  We need to filter suppliers who have a total `availqty` of more than 1000.
5.  We need to list the supplier name, nation name, and the sum of the parts supplied.

Here's the PyDough code I'll generate:

```python
supplier_brass_parts = nations.CALCULATE(nation_name=name).suppliers.CALCULATE(
    supplier_name=name, nation_name=nation_name, total_brass_qty=SUM(supply_records.WHERE(CONTAINS(part.part_type, 'BRASS')).availqty)
).WHERE(total_brass_qty > 1000).CALCULATE(supplier_name=supplier_name, nation_name=nation_name, total_parts_brass=total_brass_qty)
```

This code:

1.  Starts with the `nations` collection and calculates the `nation_name`.
2.  Accesses the `suppliers` sub-collection and calculates the `supplier_name`, `nation_name`, and `total_brass_qty`. The `total_brass_qty` is calculated by summing the `availqty` of `supply_records` where the `part.part_type` contains 'BRASS'.
3.  Filters the suppliers to include only those where `total_brass_qty` is greater than 1000.
4.  Calculates the `supplier_name`, `nation_name`, and `total_parts_brass` for the filtered suppliers.
","supplier_brass_parts = nations.CALCULATE(nation_name=name).suppliers.CALCULATE(
    supplier_name=name, nation_name=nation_name, total_brass_qty=SUM(supply_records.WHERE(CONTAINS(part.part_type, 'BRASS')).availqty)
).WHERE(total_brass_qty > 1000).CALCULATE(supplier_name=supplier_name, nation_name=nation_name, total_parts_brass=total_brass_qty)"
Find parts names that are supplied by at least five different nations. Show the part name and the count of distinct nations that supply each part,"SELECT p.P_NAME AS PartName, COUNT(DISTINCT n.N_NAME) AS NumberOfNations FROM PART p JOIN PARTSUPP ps ON p.P_PARTKEY = ps.PS_PARTKEY JOIN SUPPLIER s ON ps.PS_SUPPKEY = s.S_SUPPKEY JOIN NATION n ON s.S_NATIONKEY = n.N_NATIONKEY GROUP BY p.P_NAME HAVING COUNT(DISTINCT n.N_NAME) > 5 ORDER BY NumberOfNations DESC;",,"Okay, let's break this down.

1.  We need to partition the `parts` collection by `name`.
2.  For each part, we need to find the distinct count of nations that supply it.
3.  We need to filter those parts that are supplied by at least five different nations.
4.  Finally, we need to show the part name and the count of distinct nations that supply each part.

Here's the PyDough code:

```python
part_nation_counts = PARTITION(parts, name='part_group', by=name).CALCULATE(
    part_name=name,
    distinct_nation_count=NDISTINCT(part_group.supply_records.supplier.nation_key)
).WHERE(distinct_nation_count >= 5)
```

Explanation:

1.  `PARTITION(parts, name='part_group', by=name)`: This partitions the `parts` collection by the `name` field, creating a partition named `part_group`.
2.  `.CALCULATE(...)`: This calculates the required fields for each partition.
    *   `part_name=name`: This selects the name of the part.
    *   `distinct_nation_count=NDISTINCT(part_group.supply_records.supplier.nation_key)`: This counts the distinct nation keys for each part by navigating through `supply_records`, `supplier`, and then accessing the `nation_key`.
3.  `.WHERE(distinct_nation_count >= 5)`: This filters the results to include only those parts that are supplied by at least five different nations.
","part_nation_counts = PARTITION(parts, name='part_group', by=name).CALCULATE(
    part_name=name,
    distinct_nation_count=NDISTINCT(part_group.supply_records.supplier.nation_key)
).WHERE(distinct_nation_count >= 5)"
"Which 10 customers purchased the highest quantity of products with 'green' in the product name during 1998? Provide their names, adress and the total quantity ordered.","SELECT c_name AS customer_name, c_address AS customer_address, SUM(l_quantity) AS total_quantity_ordered FROM customer JOIN orders ON c_custkey = o_custkey JOIN lineitem ON o_orderkey = l_orderkey JOIN part ON l_partkey = p_partkey WHERE p_name LIKE '%green%' AND strftime('%Y', o_orderdate) = '1998' GROUP BY c_name, c_address ORDER BY total_quantity_ordered DESC LIMIT 10;",,"Okay, let's break down this request into smaller parts:

1.  We need to identify the customers who purchased products with 'green' in the product name.
2.  We need to filter these purchases to only include those made in 1998.
3.  We need to calculate the total quantity of products purchased by each customer that match the criteria.
4.  We need to select the top 10 customers based on the total quantity ordered.
5.  We need to provide their names, addresses, and the total quantity ordered.

Here's how we can approach this using PyDough:

```python
top_customers = customers.CALCULATE(
    customer_name=name,
    customer_address=address,
    total_quantity=SUM(
        orders.WHERE(YEAR(order_date) == 1998).lines.WHERE(CONTAINS(part.name, 'green')).quantity
    )
).TOP_K(10, by=total_quantity.DESC())
```

Explanation:

1.  We start with the `customers` collection.
2.  We use `CALCULATE` to create new fields: `customer_name`, `customer_address`, and `total_quantity`.
3.  `customer_name` is assigned the value of the `name` field from the `customers` collection.
4.  `customer_address` is assigned the value of the `address` field from the `customers` collection.
5.  `total_quantity` is calculated using `SUM`. We sum the `quantity` from the `lines` collection, but only for lines that meet specific criteria.
6.  The criteria are defined using nested `WHERE` clauses:
    *   `orders.WHERE(YEAR(order_date) == 1998)` filters the orders to only include those placed in 1998.
    *   `lines.WHERE(CONTAINS(part.name, 'green'))` filters the lines to only include those where the `part.name` contains 'green'.
7.  Finally, we use `TOP_K(10, by=total_quantity.DESC())` to select the top 10 customers based on the `total_quantity` in descending order.
","top_customers = customers.CALCULATE(
    customer_name=name,
    customer_address=address,
    total_quantity=SUM(
        orders.WHERE(YEAR(order_date) == 1998).lines.WHERE(CONTAINS(part.name, 'green')).quantity
    )
).TOP_K(10, by=total_quantity.DESC())"
Which is the average discount applied on orders for each market segment? Sorted in descending order,"SELECT c_mktsegment AS market_segment, AVG(l_discount) AS average_discount FROM customer JOIN orders ON c_custkey = o_custkey JOIN lineitem ON o_orderkey = l_orderkey GROUP BY c_mktsegment;","1. Average shipping delay by supplier:
```python
avg_shipping_delay_by_supplier = suppliers.CALCULATE(
    supplier_name=name,
    average_shipping_delay=AVG(lines.ship_date - lines.commit_date)
)
```
2. Average price by part size:
```python
avg_price_by_part_size = GROUP_BY(
    parts,
    name= ""part"",
 by=(part_size)
).CALCULATE(
 part_size= part_size,
 average_retail_price= AVG(part.retail_price)
)```","Okay, let's break down this request:

1.  We need to calculate the average discount applied on orders for each market segment.
2.  We need to sort the results in descending order of the average discount.

Here's how we can approach this:

1.  Start with the `customers` collection since it contains the `mktsegment` field.
2.  For each customer, access their orders.
3.  For each order, calculate the average discount of its lines.
4.  Partition by `mktsegment` and calculate the average of the average discounts.
5.  Sort the result in descending order.

Here's the PyDough code:

```python
market_segment_avg_discount = customers.CALCULATE(
    mktsegment=mktsegment,
    avg_discount=AVG(orders.lines.discount)
).ORDER_BY(avg_discount.DESC())
```

Explanation:

*   We start with the `customers` collection.
*   We use `CALCULATE` to create a new collection with two fields:
    *   `mktsegment`: The market segment of the customer.
    *   `avg_discount`: The average discount of all lines in all orders for that customer.
*   Finally, we use `ORDER_BY` to sort the results in descending order of the average discount.
","market_segment_avg_discount = customers.CALCULATE(
    mktsegment=mktsegment,
    avg_discount=AVG(orders.lines.discount)
).ORDER_BY(avg_discount.DESC())"
What were the 20 most popular products (parts) within each market segment in 1998?,"WITH ProductPopularity AS (SELECT c_mktsegment AS market_segment, p_name AS product_name, SUM(l_quantity) AS total_quantity FROM customer JOIN orders ON c_custkey = o_custkey JOIN lineitem ON o_orderkey = l_orderkey JOIN part ON l_partkey = p_partkey WHERE strftime('%Y', o_orderdate) = '1998' GROUP BY c_mktsegment, p_name) SELECT market_segment, product_name, total_quantity FROM (SELECT market_segment, product_name, total_quantity, ROW_NUMBER() OVER (PARTITION BY market_segment ORDER BY total_quantity DESC) AS rank FROM ProductPopularity) WHERE rank <= 20;",,"Okay, let's break this down into smaller parts.

1.  **Initial Data**: We need to start with the `customers` collection since we want to group by market segment.
2.  **Filter by Year**: Filter the orders to only include those from 1998.
3.  **Partition by Market Segment**: Group the data by market segment.
4.  **Count Orders per Product**: For each market segment, count the number of orders for each product.
5.  **Rank Products**: Rank the products within each market segment based on their order count.
6.  **Filter Top 20**: Filter the results to retrieve only the top 20 products per market segment.
7.  **Return Results**: Return the market segment, product name, and order count.

The error message `Unrecognized term of simple table collection 'lines' in graph 'TPCH': 'customer'` indicates that we are trying to access `customer.segment` from the `lines` collection, which is not a valid relationship. The `lines` collection does not have a direct relationship to the `customer` collection.

Here's the corrected PyDough code:

```python
segment_part_sales = customers.CALCULATE(segment=mktsegment).orders.WHERE(YEAR(order_date) == 1998).lines.CALCULATE(segment=order.customer.mktsegment, part_name=part.name)

top_per_segment = PARTITION(
    segment_part_sales,
    name='segment_group',
    by=segment
).CALCULATE(
    segment=segment,
    part_name=segment_group.part_name,
    total_sold=COUNT(segment_group.part_name),
    rank=RANKING(by=COUNT(segment_group.part_name).DESC(), levels=1)
).WHERE(rank <= 20).ORDER_BY(segment.ASC(), COUNT(segment_group.part_name).DESC())
```

Explanation:

1.  **Calculate initial data**:
    *   `segment_part_sales = customers.CALCULATE(segment=mktsegment).orders.WHERE(YEAR(order_date) == 1998).lines.CALCULATE(segment=order.customer.mktsegment, part_name=part.name)`: This line calculates the market segment for each customer, filters orders from 1998, and then calculates the market segment and part name for each line item.  The `segment` is now accessed via `order.customer.mktsegment` instead of `customer.segment` from the `lines` collection.
2.  **Partition by Market Segment**:
    *   `PARTITION(segment_part_sales, name='segment_group', by=segment)`: This partitions the data by market segment, creating a group for each segment.
3.  **Calculate Order Count and Rank**:
    *   `.CALCULATE(segment=segment, part_name=segment_group.part_name, total_sold=COUNT(segment_group.part_name), rank=RANKING(by=COUNT(segment_group.part_name).DESC(), levels=1))`: This calculates the total number of times each part was sold within each segment and then ranks the parts within each segment based on the total sold count.
4.  **Filter Top 20**:
    *   `.WHERE(rank <= 20)`: This filters the results to only include the top 20 parts within each segment based on their rank.
5.  **Order Results**:
    *   `.ORDER_BY(segment.ASC(), COUNT(segment_group.part_name).DESC())`: This orders the results first by market segment in ascending order and then by the total number of parts sold in descending order.

```python
segment_part_sales = customers.CALCULATE(segment=mktsegment).orders.WHERE(YEAR(order_date) == 1998).lines.CALCULATE(segment=order.customer.mktsegment, part_name=part.name)

top_per_segment = PARTITION(
    segment_part_sales,
    name='segment_group',
    by=segment
).CALCULATE(
    segment=segment,
    part_name=segment_group.part_name,
    total_sold=COUNT(segment_group.part_name),
    rank=RANKING(by=COUNT(segment_group.part_name).DESC(), levels=1)
).WHERE(rank <= 20).ORDER_BY(segment.ASC(), COUNT(segment_group.part_name).DESC())
```","segment_part_sales = customers.CALCULATE(segment=mktsegment).orders.WHERE(YEAR(order_date) == 1998).lines.CALCULATE(segment=order.customer.mktsegment, part_name=part.name)

top_per_segment = PARTITION(
    segment_part_sales,
    name='segment_group',
    by=segment
).CALCULATE(
    segment=segment,
    part_name=segment_group.part_name,
    total_sold=COUNT(segment_group.part_name),
    rank=RANKING(by=COUNT(segment_group.part_name).DESC(), levels=1)
).WHERE(rank <= 20).ORDER_BY(segment.ASC(), COUNT(segment_group.part_name).DESC())"
